成交时间,证券代码,买卖标志,成交价格,成交数量,成交金额,成交编号,账户ID,日期
94159,2576,买入,10.87,100,1087,102000002507970.00 ,680135528,20170430
94159,915,买入,22.75,200,4550,104000002551446.00 ,680135528,20170430
94159,2410,买入,27.2,300,8160,101000002468361.00 ,680135528,20170430
94159,2410,买入,27.27,200,5454,101000002468363.00 ,680135528,20170430
94159,732,买入,22.2,100,2220,103000002507202.00 ,680135528,20170430
94159,300275,买入,11.2,200,2240,103000002507223.00 ,680135528,20170430
94159,2668,买入,20.79,100,2079,104000002551622.00 ,680135528,20170430
94159,2020,买入,12.21,400,4884,103000002507418.00 ,680135528,20170430
94159,2299,买入,15.53,100,1553,101000002468601.00 ,680135528,20170430
94159,2353,买入,18.38,100,1838,101000002468676.00 ,680135528,20170430
94159,300249,买入,7.05,100,705,101000002468695.00 ,680135528,20170430
94159,600596,买入,16.58,300,4974,1747862.00 ,680135528,20170430
94159,603711,买入,24.42,100,2442,1747995.00 ,680135528,20170430
94159,2183,买入,7.34,100,734,101000002468795.00 ,680135528,20170430
94159,2183,买入,7.34,200,1468,101000002468797.00 ,680135528,20170430
94159,2153,买入,28.69,400,11476,101000002468817.00 ,680135528,20170430
94159,603260,买入,73.5,100,7350,1748005.00 ,680135528,20170430
94159,952,买入,14.77,100,1477,101000002468931.00 ,680135528,20170430
94200,2024,买入,14.85,300,4455,101000002469039.00 ,680135528,20170430
94159,603058,买入,13.76,200,2752,1748165.00 ,680135528,20170430
94159,600315,买入,43.86,100,4386,1748178.00 ,680135528,20170430
94200,300075,买入,14.28,200,2856,102000002508907.00 ,680135528,20170430
94200,300398,买入,20.47,100,2047,103000002508089.00 ,680135528,20170430
94200,300736,买入,29,100,2900,102000002508964.00 ,680135528,20170430
94200,155,买入,6.67,200,1334,104000002552706.00 ,680135528,20170430
94159,600298,买入,36.98,200,7396,1748273.00 ,680135528,20170430
94159,600673,买入,9.95,300,2985,1748324.00 ,680135528,20170430
94200,513,买入,67,100,6700,104000002552757.00 ,680135528,20170430
94200,520,买入,3.48,400,1392,104000002552867.00 ,680135528,20170430
94200,2458,买入,18.06,200,3612,102000002509109.00 ,680135528,20170430
